pair_id,patient,role,status,assay,library_strategy,library_layout,platform,model,run_accession,fastq_1,fastq_2,sample,reference_id,reference_path,reference_sha256,aligner,aligner_threads,read_group_id,read_group_sample,read_group_library,read_group_platform,read_group_platform_unit,output_bam,output_bai,source,caveat
seqc2_hcc1395_wes_minimal_smoke,HCC1395_SEQC2,normal,0,WES,WXS,PAIRED,ILLUMINA,Illumina HiSeq 4000,SRR7890851,data/raw/smoke/seqc2_hcc1395_wes_minimal_smoke/SRR7890851_R1.fastq,data/raw/smoke/seqc2_hcc1395_wes_minimal_smoke/SRR7890851_R2.fastq,HCC1395BL,seqc2_hcc1395_readback_smoke_v1,data/raw/smoke/seqc2_hcc1395_alignment_smoke/reference/seqc2_hcc1395_readback_smoke_v1.fa,4d96ba3cae32f2ba55cf642aeb8865cc53d47df68c1fb03e3211e26b09a9b4cb,bwa mem,2,SRR7890851,HCC1395BL,WES_normal,ILLUMINA,SRR7890851,data/raw/smoke/seqc2_hcc1395_alignment_smoke/bam/SRR7890851.coordinate_sorted.bam,data/raw/smoke/seqc2_hcc1395_alignment_smoke/bam/SRR7890851.coordinate_sorted.bam.bai,Phase 2A local HCC1395 FASTQ subset,Read-backed synthetic smoke reference for local alignment and BAM contract validation only; not a human-reference or variant-calling result.
seqc2_hcc1395_wes_minimal_smoke,HCC1395_SEQC2,tumor,1,WES,WXS,PAIRED,ILLUMINA,Illumina HiSeq 4000,SRR7890850,data/raw/smoke/seqc2_hcc1395_wes_minimal_smoke/SRR7890850_R1.fastq,data/raw/smoke/seqc2_hcc1395_wes_minimal_smoke/SRR7890850_R2.fastq,HCC1395,seqc2_hcc1395_readback_smoke_v1,data/raw/smoke/seqc2_hcc1395_alignment_smoke/reference/seqc2_hcc1395_readback_smoke_v1.fa,4d96ba3cae32f2ba55cf642aeb8865cc53d47df68c1fb03e3211e26b09a9b4cb,bwa mem,2,SRR7890850,HCC1395,WES_tumor,ILLUMINA,SRR7890850,data/raw/smoke/seqc2_hcc1395_alignment_smoke/bam/SRR7890850.coordinate_sorted.bam,data/raw/smoke/seqc2_hcc1395_alignment_smoke/bam/SRR7890850.coordinate_sorted.bam.bai,Phase 2A local HCC1395 FASTQ subset,Read-backed synthetic smoke reference for local alignment and BAM contract validation only; not a human-reference or variant-calling result.
