signature,gene,entrez,coefficient
basal_like_1,CDH3,1001,1.0
basal_like_1,LOC100130100,,1.0
basal_like_1,LOC100133233,,1.0
basal_like_1,LOC100133739,,1.0
basal_like_1,CD24,100133941,1.0
basal_like_1,DNAJB6,10049,1.0
basal_like_1,RASGRP1,10125,1.0
basal_like_1,FARP1,10160,1.0
basal_like_1,MPZL2,10205,1.0
basal_like_1,MSLN,10232,1.0
basal_like_1,IRX5,10265,1.0
basal_like_1,NET1,10276,1.0
basal_like_1,EFS,10278,1.0
basal_like_1,CDKN2A,1029,1.0
basal_like_1,NDRG1,10397,1.0
basal_like_1,NDC80,10403,1.0
basal_like_1,ZNF238,10472,1.0
basal_like_1,UBD,10537,1.0
basal_like_1,IFI44,10561,1.0
basal_like_1,CXCL13,10563,1.0
basal_like_1,CENPA,1058,1.0
basal_like_1,CENPE,1062,1.0
basal_like_1,CENPF,1063,1.0
basal_like_1,NES,10763,1.0
basal_like_1,IFI44L,10964,1.0
basal_like_1,CDC42EP1,11135,1.0
basal_like_1,PTP4A3,11156,1.0
basal_like_1,CHI3L1,1116,1.0
basal_like_1,NUDT3,11165,1.0
basal_like_1,CHI3L2,1117,1.0
basal_like_1,FAM107A,11170,1.0
basal_like_1,PADI2,11240,1.0
basal_like_1,OIP5,11339,1.0
basal_like_1,SCRG1,11341,1.0
basal_like_1,CKB,1152,1.0
basal_like_1,CKMT1B,1159,1.0
basal_like_1,CKS1B,1163,1.0
basal_like_1,CKS2,1164,1.0
basal_like_1,RPL39L,116832,1.0
basal_like_1,SERPINA3,12,1.0
basal_like_1,COPA,1314,1.0
basal_like_1,CLDN4,1364,1.0
basal_like_1,CLDN3,1365,1.0
basal_like_1,CLDN7,1366,1.0
basal_like_1,CRABP1,1381,1.0
basal_like_1,CRABP2,1382,1.0
basal_like_1,CRYAB,1410,1.0
basal_like_1,CTPS,1503,1.0
basal_like_1,CTSS,1520,1.0
basal_like_1,GPR125,166647,1.0
basal_like_1,DSP,1832,1.0
basal_like_1,SLC26A2,1836,1.0
basal_like_1,DTNA,1837,1.0
basal_like_1,EFNA4,1945,1.0
basal_like_1,ELF5,2001,1.0
basal_like_1,APOBEC3A,200315,1.0
basal_like_1,EN1,2019,1.0
basal_like_1,SLC29A1,2030,1.0
basal_like_1,AK2,204,1.0
basal_like_1,EPHB3,2049,1.0
basal_like_1,ALAS1,211,1.0
basal_like_1,FABP5,2171,1.0
basal_like_1,FGF13,2258,1.0
basal_like_1,FGFR2,2263,1.0
basal_like_1,PUF60,22827,1.0
basal_like_1,ZHX2,22882,1.0
basal_like_1,BTBD3,22903,1.0
basal_like_1,TPX2,22974,1.0
basal_like_1,FOXM1,2305,1.0
basal_like_1,PEG10,23089,1.0
basal_like_1,NFASC,23114,1.0
basal_like_1,ARHGEF9,23229,1.0
basal_like_1,COBL,23242,1.0
basal_like_1,BOP1,23246,1.0
basal_like_1,TRIM2,23321,1.0
basal_like_1,SYNM,23336,1.0
basal_like_1,OBSL1,23363,1.0
basal_like_1,TRAM1,23471,1.0
basal_like_1,LRRC8B,23507,1.0
basal_like_1,SCRIB,23513,1.0
basal_like_1,DDAH1,23576,1.0
basal_like_1,TRIM29,23650,1.0
basal_like_1,SGK3,23678,1.0
basal_like_1,MAFF,23764,1.0
basal_like_1,GABRP,2568,1.0
basal_like_1,TMEM158,25907,1.0
basal_like_1,CLIC4,25932,1.0
basal_like_1,KRT23,25984,1.0
basal_like_1,AMD1,262,1.0
basal_like_1,GBP1,2633,1.0
basal_like_1,CKAP2,26586,1.0
basal_like_1,EIF2C2,27161,1.0
basal_like_1,TNFRSF21,27242,1.0
basal_like_1,ADAMDEC1,27299,1.0
basal_like_1,TMEM97,27346,1.0
basal_like_1,IGHV4-31,28396,1.0
basal_like_1,TMSB15B,286527,1.0
basal_like_1,IGLJ3,28831,1.0
basal_like_1,GRB14,2888,1.0
basal_like_1,IGKV1D-13,28902,1.0
basal_like_1,IGKV4-1,28908,1.0
basal_like_1,TMEM14A,28978,1.0
basal_like_1,MRPL13,28998,1.0
basal_like_1,SLC43A3,29015,1.0
basal_like_1,ATAD2,29028,1.0
basal_like_1,MRPL15,29088,1.0
basal_like_1,GSTA4,2941,1.0
basal_like_1,GPSM2,29899,1.0
basal_like_1,SCHIP1,29970,1.0
basal_like_1,HIST1H2AE,3012,1.0
basal_like_1,HLA-DRB4,3126,1.0
basal_like_1,HMGB2,3148,1.0
basal_like_1,HMGA1,3159,1.0
basal_like_1,HSF1,3297,1.0
basal_like_1,HSPA1B,3304,1.0
basal_like_1,BIRC5,332,1.0
basal_like_1,LOC339562,,1.0
basal_like_1,IGHG1,3500,1.0
basal_like_1,IGHG3,3502,1.0
basal_like_1,IGHM,3507,1.0
basal_like_1,IGJ,3512,1.0
basal_like_1,IGKC,3514,1.0
basal_like_1,IGL@,3535,1.0
basal_like_1,IL12RB2,3595,1.0
basal_like_1,ILF2,3608,1.0
basal_like_1,IMPA2,3613,1.0
basal_like_1,CXCL10,3627,1.0
basal_like_1,ITGA6,3655,1.0
basal_like_1,IRF6,3664,1.0
basal_like_1,ITPKB,3707,1.0
basal_like_1,IVD,3712,1.0
basal_like_1,KCNN4,3783,1.0
basal_like_1,KPNA2,3838,1.0
basal_like_1,KRT15,3866,1.0
basal_like_1,KRT19,3880,1.0
basal_like_1,KRT81,3887,1.0
basal_like_1,LCN2,3934,1.0
basal_like_1,LIMK2,3985,1.0
basal_like_1,FADS1,3992,1.0
basal_like_1,LY6E,4061,1.0
basal_like_1,LYN,4067,1.0
basal_like_1,LYZ,4069,1.0
basal_like_1,TACSTD2,4070,1.0
basal_like_1,TM4SF1,4071,1.0
basal_like_1,EPCAM,4072,1.0
basal_like_1,MAD2L1,4085,1.0
basal_like_1,MB,4151,1.0
basal_like_1,CHST6,4166,1.0
basal_like_1,MCM3,4172,1.0
basal_like_1,MCM4,4173,1.0
basal_like_1,ART3,419,1.0
basal_like_1,MFGE8,4240,1.0
basal_like_1,MGP,4256,1.0
basal_like_1,CXCL9,4283,1.0
basal_like_1,MSH2,4436,1.0
basal_like_1,ASS1,445,1.0
basal_like_1,MUC1,4582,1.0
basal_like_1,MX1,4599,1.0
basal_like_1,MYBL1,4603,1.0
basal_like_1,MYC,4609,1.0
basal_like_1,NEK2,4751,1.0
basal_like_1,NFIB,4781,1.0
basal_like_1,NFIL3,4783,1.0
basal_like_1,ATP1B1,481,1.0
basal_like_1,NOTCH1,4851,1.0
basal_like_1,NTN3,4917,1.0
basal_like_1,PBX1,5087,1.0
basal_like_1,MTERFD1,51001,1.0
basal_like_1,LAP3,51056,1.0
basal_like_1,C8orf55,51337,1.0
basal_like_1,VGLL1,51442,1.0
basal_like_1,GTSE1,51512,1.0
basal_like_1,DTL,51514,1.0
basal_like_1,CYB5R2,51700,1.0
basal_like_1,GPRC5B,51704,1.0
basal_like_1,RP6-213H19.1,,1.0
basal_like_1,CALML5,51806,1.0
basal_like_1,SERPINB5,5268,1.0
basal_like_1,BCL11A,53335,1.0
basal_like_1,PLK1,5347,1.0
basal_like_1,PMP22,5376,1.0
basal_like_1,H2BFS,54145,1.0
basal_like_1,POU2AF1,5450,1.0
basal_like_1,EXOSC4,54512,1.0
basal_like_1,ROPN1,54763,1.0
basal_like_1,BSPRY,54836,1.0
basal_like_1,RBM35A,54845,1.0
basal_like_1,C10orf18,54906,1.0
basal_like_1,RPP25,54913,1.0
basal_like_1,WDYHV1,55093,1.0
basal_like_1,HEATR1,55127,1.0
basal_like_1,CDCA8,55143,1.0
basal_like_1,LRRC8D,55144,1.0
basal_like_1,CEP55,55165,1.0
basal_like_1,PNMAL1,55228,1.0
basal_like_1,STEAP3,55240,1.0
basal_like_1,LAPTM4B,55353,1.0
basal_like_1,MCM10,55388,1.0
basal_like_1,DHTKD1,55526,1.0
basal_like_1,SLC39A4,55630,1.0
basal_like_1,NLRP2,55655,1.0
basal_like_1,DOK5,55816,1.0
basal_like_1,PRKDC,5591,1.0
basal_like_1,PRKX,5613,1.0
basal_like_1,AZGP1,563,1.0
basal_like_1,PRPSAP1,5635,1.0
basal_like_1,PRSS8,5652,1.0
basal_like_1,SLAMF8,56833,1.0
basal_like_1,PSMB8,5696,1.0
basal_like_1,PSMB9,5698,1.0
basal_like_1,HRASLS,57110,1.0
basal_like_1,ACTR3B,57180,1.0
basal_like_1,GPR126,57211,1.0
basal_like_1,TTYH1,57348,1.0
basal_like_1,NDRG2,57447,1.0
basal_like_1,PTK2,5747,1.0
basal_like_1,PLEKHB1,58473,1.0
basal_like_1,RRAGD,58528,1.0
basal_like_1,RAB4A,5867,1.0
basal_like_1,RAD21,5885,1.0
basal_like_1,RGS10,6001,1.0
basal_like_1,RRM2,6241,1.0
basal_like_1,RSU1,6251,1.0
basal_like_1,S100A1,6271,1.0
basal_like_1,S100P,6286,1.0
basal_like_1,CCL2,6347,1.0
basal_like_1,CCL5,6352,1.0
basal_like_1,CCL8,6355,1.0
basal_like_1,CXCL11,6373,1.0
basal_like_1,SECTM1,6398,1.0
basal_like_1,RTP4,64108,1.0
basal_like_1,IFIH1,64135,1.0
basal_like_1,SET,6418,1.0
basal_like_1,SFRP1,6422,1.0
basal_like_1,TMPRSS3,64699,1.0
basal_like_1,SIX3,6496,1.0
basal_like_1,JMJD4,65094,1.0
basal_like_1,LOC652493,,1.0
basal_like_1,C8orf33,65265,1.0
basal_like_1,ZBTB10,65986,1.0
basal_like_1,SOD2,6648,1.0
basal_like_1,SOX4,6659,1.0
basal_like_1,SOX10,6663,1.0
basal_like_1,SQLE,6713,1.0
basal_like_1,ST13,6767,1.0
basal_like_1,STK3,6788,1.0
basal_like_1,BST2,684,1.0
basal_like_1,TAF2,6873,1.0
basal_like_1,TAP1,6890,1.0
basal_like_1,TBL1X,6907,1.0
basal_like_1,BUB1,699,1.0
basal_like_1,BUB1B,701,1.0
basal_like_1,TFAP2C,7022,1.0
basal_like_1,TFRC,7037,1.0
basal_like_1,TGFBR3,7049,1.0
basal_like_1,TP53,7157,1.0
basal_like_1,TP53BP2,7159,1.0
basal_like_1,TPD52,7163,1.0
basal_like_1,ACTG2,72,1.0
basal_like_1,TRPS1,7227,1.0
basal_like_1,TTK,7272,1.0
basal_like_1,MUC5B,727897,1.0
basal_like_1,TYMS,7298,1.0
basal_like_1,UGP2,7360,1.0
basal_like_1,UGT8,7368,1.0
basal_like_1,USP1,7398,1.0
basal_like_1,YWHAZ,7534,1.0
basal_like_1,ZIC1,7545,1.0
basal_like_1,DEK,7913,1.0
basal_like_1,CALB2,794,1.0
basal_like_1,GPR172A,79581,1.0
basal_like_1,PGBD5,79605,1.0
basal_like_1,VTCN1,79679,1.0
basal_like_1,ZFAND1,79752,1.0
basal_like_1,CLMN,79789,1.0
basal_like_1,EFHD1,80303,1.0
basal_like_1,APOL6,80830,1.0
basal_like_1,ANP32E,81611,1.0
basal_like_1,ZNF239,8187,1.0
basal_like_1,MIA,8190,1.0
basal_like_1,CHAF1B,8208,1.0
basal_like_1,CAPG,822,1.0
basal_like_1,CDC7,8317,1.0
basal_like_1,FZD6,8323,1.0
basal_like_1,HIST2H2AA3,8337,1.0
basal_like_1,TCF7L1,83439,1.0
basal_like_1,HIST1H2BE,8344,1.0
basal_like_1,HIST1H2BH,8345,1.0
basal_like_1,HIST2H2BE,8349,1.0
basal_like_1,POLDIP3,84271,1.0
basal_like_1,SORBS2,8470,1.0
basal_like_1,PSRC1,84722,1.0
basal_like_1,HIST1H2BK,85236,1.0
basal_like_1,MICALL1,85377,1.0
basal_like_1,PIR,8544,1.0
basal_like_1,TSPYL5,85453,1.0
basal_like_1,ACTL6A,86,1.0
basal_like_1,PPAP2C,8612,1.0
basal_like_1,CBS,875,1.0
basal_like_1,SAP30,8819,1.0
basal_like_1,GGH,8836,1.0
basal_like_1,PROM1,8842,1.0
basal_like_1,SPHK1,8877,1.0
basal_like_1,SGCE,8910,1.0
basal_like_1,SELENBP1,8991,1.0
basal_like_1,PRC1,9055,1.0
basal_like_1,CCNE2,9134,1.0
basal_like_1,IGLL3,91353,1.0
basal_like_1,RSAD2,91543,1.0
basal_like_1,PTPLA,9200,1.0
basal_like_1,IL32,9235,1.0
basal_like_1,MUC16,94025,1.0
basal_like_1,ARHGAP29,9411,1.0
basal_like_1,APOBEC3B,9582,1.0
basal_like_1,ISG15,9636,1.0
basal_like_1,MDC1,9656,1.0
basal_like_1,MTSS1,9788,1.0
basal_like_1,MFAP3L,9848,1.0
basal_like_1,ZBED4,9889,1.0
basal_like_1,CDC20,991,1.0
basal_like_1,CDH11,1009,-1.0
basal_like_1,ARL4A,10124,-1.0
basal_like_1,LHFP,10186,-1.0
basal_like_1,DHRS2,10202,-1.0
basal_like_1,LRRC17,10234,-1.0
basal_like_1,CRISP3,10321,-1.0
basal_like_1,ABCA8,10351,-1.0
basal_like_1,WFDC2,10406,-1.0
basal_like_1,BASP1,10409,-1.0
basal_like_1,SPON1,10418,-1.0
basal_like_1,OLFM1,10439,-1.0
basal_like_1,PECI,10455,-1.0
basal_like_1,SEMA3C,10512,-1.0
basal_like_1,FBLN5,10516,-1.0
basal_like_1,AGR2,10551,-1.0
basal_like_1,OLFM4,10562,-1.0
basal_like_1,POSTN,10631,-1.0
basal_like_1,SCGB1D2,10647,-1.0
basal_like_1,CES1,1066,-1.0
basal_like_1,IQGAP2,10788,-1.0
basal_like_1,MAGED2,10916,-1.0
basal_like_1,MLLT11,10962,-1.0
basal_like_1,C10orf116,10974,-1.0
basal_like_1,PLA2G16,11145,-1.0
basal_like_1,NUDT4,11163,-1.0
basal_like_1,GALNT6,11226,-1.0
basal_like_1,EGLN3,112399,-1.0
basal_like_1,TP53TG1,11257,-1.0
basal_like_1,PRR4,11272,-1.0
basal_like_1,C1QTNF3,114899,-1.0
basal_like_1,CLU,1191,-1.0
basal_like_1,ADH1B,125,-1.0
basal_like_1,COL2A1,1280,-1.0
basal_like_1,COL4A5,1287,-1.0
basal_like_1,COL5A1,1289,-1.0
basal_like_1,COL5A2,1290,-1.0
basal_like_1,COL6A3,1293,-1.0
basal_like_1,COL10A1,1300,-1.0
basal_like_1,COL16A1,1307,-1.0
basal_like_1,COMP,1311,-1.0
basal_like_1,LRRC15,131578,-1.0
basal_like_1,CPA3,1359,-1.0
basal_like_1,CPD,1362,-1.0
basal_like_1,CPE,1363,-1.0
basal_like_1,CSN3,1448,-1.0
basal_like_1,VCAN,1462,-1.0
basal_like_1,CST3,1471,-1.0
basal_like_1,CST6,1474,-1.0
basal_like_1,CSTA,1475,-1.0
basal_like_1,CTAG1B,1485,-1.0
basal_like_1,ADRA2A,150,-1.0
basal_like_1,CX3CR1,1524,-1.0
basal_like_1,CYB5A,1528,-1.0
basal_like_1,CYP1B1,1545,-1.0
basal_like_1,DCN,1634,-1.0
basal_like_1,AKR1C1,1645,-1.0
basal_like_1,AKR1C2,1646,-1.0
basal_like_1,AEBP1,165,-1.0
basal_like_1,DEFB1,1672,-1.0
basal_like_1,COCH,1690,-1.0
basal_like_1,DMD,1756,-1.0
basal_like_1,SLC26A3,1811,-1.0
basal_like_1,DSC3,1825,-1.0
basal_like_1,DSG1,1828,-1.0
basal_like_1,DSG3,1830,-1.0
basal_like_1,DUSP1,1843,-1.0
basal_like_1,DUSP4,1846,-1.0
basal_like_1,DUSP6,1848,-1.0
basal_like_1,LPAR1,1902,-1.0
basal_like_1,EFNB2,1948,-1.0
basal_like_1,EGFR,1956,-1.0
basal_like_1,EGR1,1958,-1.0
basal_like_1,AHR,196,-1.0
basal_like_1,EGR3,1960,-1.0
basal_like_1,ELN,2006,-1.0
basal_like_1,EPS8,2059,-1.0
basal_like_1,ESRRG,2104,-1.0
basal_like_1,ALCAM,214,-1.0
basal_like_1,F3,2152,-1.0
basal_like_1,FABP4,2167,-1.0
basal_like_1,ZCCHC24,219654,-1.0
basal_like_1,FBN1,2200,-1.0
basal_like_1,FBN2,2201,-1.0
basal_like_1,EFEMP1,2202,-1.0
basal_like_1,FCER1A,2205,-1.0
basal_like_1,ALDH3B2,222,-1.0
basal_like_1,FHL1,2273,-1.0
basal_like_1,NID2,22795,-1.0
basal_like_1,FKBP1B,2281,-1.0
basal_like_1,FKBP5,2289,-1.0
basal_like_1,DKK1,22943,-1.0
basal_like_1,PDZD2,23037,-1.0
basal_like_1,TNIK,23043,-1.0
basal_like_1,ZNF423,23090,-1.0
basal_like_1,GPD1L,23171,-1.0
basal_like_1,DTX4,23220,-1.0
basal_like_1,LPHN2,23266,-1.0
basal_like_1,FMO5,2330,-1.0
basal_like_1,FMOD,2331,-1.0
basal_like_1,PSD3,23362,-1.0
basal_like_1,ZFPM2,23414,-1.0
basal_like_1,HEY1,23462,-1.0
basal_like_1,FOS,2353,-1.0
basal_like_1,RAB38,23682,-1.0
basal_like_1,FLRT3,23767,-1.0
basal_like_1,FLRT2,23768,-1.0
basal_like_1,ANXA8L2,728113,-1.0
basal_like_1,ALOX15B,247,-1.0
basal_like_1,FRZB,2487,-1.0
basal_like_1,SERHL2,253190,-1.0
basal_like_1,DARC,2532,-1.0
basal_like_1,GABRE,2564,-1.0
basal_like_1,QPCT,25797,-1.0
basal_like_1,SPDEF,25803,-1.0
basal_like_1,DKFZP564O0823,25849,-1.0
basal_like_1,MOXD1,26002,-1.0
basal_like_1,ABCA12,26154,-1.0
basal_like_1,GAS6,2621,-1.0
basal_like_1,GEM,2669,-1.0
basal_like_1,STEAP1,26872,-1.0
basal_like_1,GHR,2690,-1.0
basal_like_1,GJA1,2697,-1.0
basal_like_1,LYPD3,27076,-1.0
basal_like_1,TOX3,27324,-1.0
basal_like_1,AMY1A,276,-1.0
basal_like_1,CDH19,28513,-1.0
basal_like_1,CXCL2,2920,-1.0
basal_like_1,GUCY1A3,2982,-1.0
basal_like_1,GUCY1B3,2983,-1.0
basal_like_1,HLA-DQA1,3117,-1.0
basal_like_1,HMGCS2,3158,-1.0
basal_like_1,FOXA1,3169,-1.0
basal_like_1,ACACB,32,-1.0
basal_like_1,HOXA5,3202,-1.0
basal_like_1,HOXA9,3205,-1.0
basal_like_1,HOXA10,3206,-1.0
basal_like_1,HOXB2,3212,-1.0
basal_like_1,HPGD,3248,-1.0
basal_like_1,HSD17B2,3294,-1.0
basal_like_1,FAM5C,339479,-1.0
basal_like_1,ID1,3397,-1.0
basal_like_1,ID3,3399,-1.0
basal_like_1,CFI,3426,-1.0
basal_like_1,APOD,347,-1.0
basal_like_1,TUBB2B,347733,-1.0
basal_like_1,IGF1,3479,-1.0
basal_like_1,AMIGO2,347902,-1.0
basal_like_1,IGF2,3481,-1.0
basal_like_1,IGFBP4,3487,-1.0
basal_like_1,IL1R1,3554,-1.0
basal_like_1,INHBA,3624,-1.0
basal_like_1,INHBB,3625,-1.0
basal_like_1,AR,367,-1.0
basal_like_1,ITGB5,3693,-1.0
basal_like_1,ITGB6,3694,-1.0
basal_like_1,KAL1,3730,-1.0
basal_like_1,MAST4,375449,-1.0
basal_like_1,KCNMA1,3778,-1.0
basal_like_1,KRT5,3852,-1.0
basal_like_1,KRT6A,3853,-1.0
basal_like_1,KRT14,3861,-1.0
basal_like_1,C6orf120,387263,-1.0
basal_like_1,LAMA3,3909,-1.0
basal_like_1,LAMB3,3914,-1.0
basal_like_1,LBP,3929,-1.0
basal_like_1,LGALS7,3963,-1.0
basal_like_1,LGALS8,3964,-1.0
basal_like_1,LOXL1,4016,-1.0
basal_like_1,LTBP2,4053,-1.0
basal_like_1,MAGEA3,4102,-1.0
basal_like_1,MAGEA6,4105,-1.0
basal_like_1,MAGEA12,4111,-1.0
basal_like_1,MAOA,4128,-1.0
basal_like_1,MATN2,4147,-1.0
basal_like_1,MEST,4232,-1.0
basal_like_1,SCGB2A1,4246,-1.0
basal_like_1,SCGB2A2,4250,-1.0
basal_like_1,MME,4311,-1.0
basal_like_1,MMP2,4313,-1.0
basal_like_1,MMP3,4314,-1.0
basal_like_1,MMP13,4322,-1.0
basal_like_1,MYO1B,4430,-1.0
basal_like_1,MT1M,4499,-1.0
basal_like_1,MT1X,4501,-1.0
basal_like_1,MYBPC1,4604,-1.0
basal_like_1,CEACAM6,4680,-1.0
basal_like_1,NDN,4692,-1.0
basal_like_1,NEFH,4744,-1.0
basal_like_1,NINJ2,4815,-1.0
basal_like_1,NNMT,4837,-1.0
basal_like_1,ATP2B1,490,-1.0
basal_like_1,NTRK2,4915,-1.0
basal_like_1,NR4A2,4929,-1.0
basal_like_1,TNFRSF11B,4982,-1.0
basal_like_1,ORM1,5004,-1.0
basal_like_1,ORM2,5005,-1.0
basal_like_1,NOX4,50507,-1.0
basal_like_1,IRX4,50805,-1.0
basal_like_1,PCDH7,5099,-1.0
basal_like_1,PCP4,5121,-1.0
basal_like_1,NRN1,51299,-1.0
basal_like_1,LIMA1,51474,-1.0
basal_like_1,PDGFRL,5157,-1.0
basal_like_1,PEG3,5178,-1.0
basal_like_1,GALNT7,51809,-1.0
basal_like_1,PI3,5266,-1.0
basal_like_1,SERPINB6,5269,-1.0
basal_like_1,PIK3R1,5295,-1.0
basal_like_1,PIP,5304,-1.0
basal_like_1,PLA2G2A,5320,-1.0
basal_like_1,PLAT,5327,-1.0
basal_like_1,PLAU,5328,-1.0
basal_like_1,IL20RA,53832,-1.0
basal_like_1,GPR87,53836,-1.0
basal_like_1,PON3,5446,-1.0
basal_like_1,PLEKHA5,54477,-1.0
basal_like_1,UGT2B28,54490,-1.0
basal_like_1,MXRA8,54587,-1.0
basal_like_1,CROT,54677,-1.0
basal_like_1,ASPN,54829,-1.0
basal_like_1,SIDT1,54847,-1.0
basal_like_1,PALMD,54873,-1.0
basal_like_1,ODAM,54959,-1.0
basal_like_1,TMEM45A,55076,-1.0
basal_like_1,SOBP,55084,-1.0
basal_like_1,ANO1,55107,-1.0
basal_like_1,TRIM68,55128,-1.0
basal_like_1,CAMK2N1,55450,-1.0
basal_like_1,GALNT10,55568,-1.0
basal_like_1,CSGALNACT1,55790,-1.0
basal_like_1,PDGFC,56034,-1.0
basal_like_1,PROS1,5627,-1.0
basal_like_1,KLK7,5650,-1.0
basal_like_1,DNAJC12,56521,-1.0
basal_like_1,HTRA1,5654,-1.0
basal_like_1,C8orf4,56892,-1.0
basal_like_1,NDUFA4L2,56901,-1.0
basal_like_1,PMEPA1,56937,-1.0
basal_like_1,ARNTL2,56938,-1.0
basal_like_1,OLFML3,56944,-1.0
basal_like_1,C14orf132,56967,-1.0
basal_like_1,AKR1B10,57016,-1.0
basal_like_1,ANKMY2,57037,-1.0
basal_like_1,PSPH,5723,-1.0
basal_like_1,CLK4,57396,-1.0
basal_like_1,PTGS2,5743,-1.0
basal_like_1,PTH2R,5746,-1.0
basal_like_1,MTUS1,57509,-1.0
basal_like_1,KIAA1324,57535,-1.0
basal_like_1,PTN,5764,-1.0
basal_like_1,SCUBE2,57758,-1.0
basal_like_1,PTX3,5806,-1.0
basal_like_1,ACE2,59272,-1.0
basal_like_1,RBP1,5947,-1.0
basal_like_1,CCND1,595,-1.0
basal_like_1,RBP4,5950,-1.0
basal_like_1,BCL2,596,-1.0
basal_like_1,RGS4,5999,-1.0
basal_like_1,ROBO1,6091,-1.0
basal_like_1,S100A2,6273,-1.0
basal_like_1,S100A7,6278,-1.0
basal_like_1,S100A8,6279,-1.0
basal_like_1,S100A9,6280,-1.0
basal_like_1,CLEC11A,6320,-1.0
basal_like_1,SCML1,6322,-1.0
basal_like_1,SCNN1A,6337,-1.0
basal_like_1,CCL20,6364,-1.0
basal_like_1,CXCL5,6374,-1.0
basal_like_1,SFRP4,6424,-1.0
basal_like_1,TPSB2,64499,-1.0
basal_like_1,SLC1A1,6505,-1.0
basal_like_1,SLPI,6590,-1.0
basal_like_1,AACS,65985,-1.0
basal_like_1,TRAK2,66008,-1.0
basal_like_1,BNIP3L,665,-1.0
basal_like_1,DST,667,-1.0
basal_like_1,SPOCK1,6695,-1.0
basal_like_1,TCF4,6925,-1.0
basal_like_1,TCN1,6947,-1.0
basal_like_1,TF,7018,-1.0
basal_like_1,TFAP2B,7021,-1.0
basal_like_1,NR2F1,7025,-1.0
basal_like_1,TFF3,7033,-1.0
basal_like_1,TGFA,7039,-1.0
basal_like_1,TGFBI,7045,-1.0
basal_like_1,THBS4,7060,-1.0
basal_like_1,TSPAN8,7103,-1.0
basal_like_1,TMPRSS2,7113,-1.0
basal_like_1,TNFAIP6,7130,-1.0
basal_like_1,TPSAB1,7177,-1.0
basal_like_1,C4A,720,-1.0
basal_like_1,C4B,721,-1.0
basal_like_1,CSAG2,102723547,-1.0
basal_like_1,TWIST1,7291,-1.0
basal_like_1,COL14A1,7373,-1.0
basal_like_1,XIST,7503,-1.0
basal_like_1,ZBTB16,7704,-1.0
basal_like_1,CA12,771,-1.0
basal_like_1,IL1R2,7850,-1.0
basal_like_1,MLPH,79083,-1.0
basal_like_1,BHLHE41,79365,-1.0
basal_like_1,RNF128,79589,-1.0
basal_like_1,ACSS3,79611,-1.0
basal_like_1,GALNT14,79623,-1.0
basal_like_1,C4orf31,79625,-1.0
basal_like_1,C1orf115,79762,-1.0
basal_like_1,TFPI2,7980,-1.0
basal_like_1,TMC5,79838,-1.0
basal_like_1,CYBRD1,79901,-1.0
basal_like_1,GPR177,79971,-1.0
basal_like_1,FHOD3,80206,-1.0
basal_like_1,PDGFD,80310,-1.0
basal_like_1,SLC44A4,80736,-1.0
basal_like_1,MFAP5,8076,-1.0
basal_like_1,SSPN,8082,-1.0
basal_like_1,WNT5B,81029,-1.0
basal_like_1,NRIP1,8204,-1.0
basal_like_1,CAPN6,827,-1.0
basal_like_1,CRISPLD2,83716,-1.0
basal_like_1,SPARCL1,8404,-1.0
basal_like_1,SRPX,8406,-1.0
basal_like_1,HOPX,84525,-1.0
basal_like_1,CILP,8483,-1.0
basal_like_1,RGS5,8490,-1.0
basal_like_1,CHST1,8534,-1.0
basal_like_1,LGR5,8549,-1.0
basal_like_1,PDLIM4,8572,-1.0
basal_like_1,LY6D,8581,-1.0
basal_like_1,TP63,8626,-1.0
basal_like_1,AKR1C3,8644,-1.0
basal_like_1,TNFSF10,8743,-1.0
basal_like_1,DLK1,8788,-1.0
basal_like_1,INPP4B,8821,-1.0
basal_like_1,FCGBP,8857,-1.0
basal_like_1,IER3,8870,-1.0
basal_like_1,KYNU,8942,-1.0
basal_like_1,ACVR1,90,-1.0
basal_like_1,CLIC3,9022,-1.0
basal_like_1,CLDN10,9071,-1.0
basal_like_1,CLDN8,9073,-1.0
basal_like_1,TDRD12,91646,-1.0
basal_like_1,MYOM2,9172,-1.0
basal_like_1,DCLK1,9201,-1.0
basal_like_1,LRRFIP1,9208,-1.0
basal_like_1,ITGBL1,9358,-1.0
basal_like_1,CADPS2,93664,-1.0
basal_like_1,ADIPOQ,9370,-1.0
basal_like_1,CD36,948,-1.0
basal_like_1,GDF15,9518,-1.0
basal_like_1,CXCL14,9547,-1.0
basal_like_1,AKAP12,9590,-1.0
basal_like_1,SNCAIP,9627,-1.0
basal_like_1,CLCA2,9635,-1.0
basal_like_1,ZNF432,9668,-1.0
basal_like_1,KIAA0644,,-1.0
basal_like_1,NUAK1,9891,-1.0
basal_like_1,ARNT2,9915,-1.0
basal_like_1,GFPT2,9945,-1.0
basal_like_2,CDH3,1001,1.0
basal_like_2,PDZK1IP1,10158,1.0
basal_like_2,MPZL2,10205,1.0
basal_like_2,CDKN2A,1029,1.0
basal_like_2,SPON1,10418,1.0
basal_like_2,FAM3C,10447,1.0
basal_like_2,VAV3,10451,1.0
basal_like_2,SEC23A,10484,1.0
basal_like_2,SEMA3C,10512,1.0
basal_like_2,NEBL,10529,1.0
basal_like_2,IFI44,10561,1.0
basal_like_2,ST6GALNAC2,10610,1.0
basal_like_2,TRIM16,10626,1.0
