pair_id,sample,role,run_accession,reads_per_end,r1_mean_length,r2_mean_length,r1_gc_fraction,r2_gc_fraction,first_read_id,last_read_id,paired_id_check,local_fastq_1,local_fastq_2,caveat
seqc2_hcc1395_wes_minimal_smoke,HCC1395,tumor,SRR7890850,50000,151,151,0.5009,0.5011,SRR7890850.1,SRR7890850.50000,passed,data/raw/smoke/seqc2_hcc1395_production_somatic_smoke/fastq/SRR7890850_R1.50000reads.fastq,data/raw/smoke/seqc2_hcc1395_production_somatic_smoke/fastq/SRR7890850_R2.50000reads.fastq,Downsampled FASTQ subset for Phase 2E production somatic smoke; not full WES depth.
seqc2_hcc1395_wes_minimal_smoke,HCC1395BL,normal,SRR7890851,50000,151,151,0.4957,0.4969,SRR7890851.1,SRR7890851.50000,passed,data/raw/smoke/seqc2_hcc1395_production_somatic_smoke/fastq/SRR7890851_R1.50000reads.fastq,data/raw/smoke/seqc2_hcc1395_production_somatic_smoke/fastq/SRR7890851_R2.50000reads.fastq,Downsampled FASTQ subset for Phase 2E production somatic smoke; not full WES depth.
