sample_id,source,tool,tool_version,basal_marker_z,lar_luminal_marker_z,proliferation_marker_z,immune_inflammation_marker_z,epithelial_marker_z,stromal_emt_marker_z,marker_genes,caveat
TCGA-AR-A255-01,cBioPortal RNA Seq V2 RSEM batch-normalized marker expression,log2 expression z-score module means,scripts/build-rna-context.ts,0.2167,0.5848,0.233,0.5697,-0.188,-0.1973,basal_marker:KRT5|KRT14|KRT17|EGFR|FOXC1; lar_luminal_marker:AR|FOXA1|GATA3|ESR1; proliferation_marker:MKI67; immune_inflammation_marker:CD8A|CD274|CXCL9|IFNG; epithelial_marker:EPCAM|MUC1; stromal_emt_marker:VIM,"Module scores are cohort-relative marker means, not locked clinical classifier outputs."
TCGA-BH-A203-01,cBioPortal RNA Seq V2 RSEM batch-normalized marker expression,log2 expression z-score module means,scripts/build-rna-context.ts,-0.0546,0.0607,0.4531,0.6161,0.2229,-0.2164,basal_marker:KRT5|KRT14|KRT17|EGFR|FOXC1; lar_luminal_marker:AR|FOXA1|GATA3|ESR1; proliferation_marker:MKI67; immune_inflammation_marker:CD8A|CD274|CXCL9|IFNG; epithelial_marker:EPCAM|MUC1; stromal_emt_marker:VIM,"Module scores are cohort-relative marker means, not locked clinical classifier outputs."
TCGA-A2-A0EP-01,cBioPortal RNA Seq V2 RSEM batch-normalized marker expression,log2 expression z-score module means,scripts/build-rna-context.ts,-0.1422,-0.1142,-0.4588,1.1464,-1.13,2.1772,basal_marker:KRT5|KRT14|KRT17|EGFR|FOXC1; lar_luminal_marker:AR|FOXA1|GATA3|ESR1; proliferation_marker:MKI67; immune_inflammation_marker:CD8A|CD274|CXCL9|IFNG; epithelial_marker:EPCAM|MUC1; stromal_emt_marker:VIM,"Module scores are cohort-relative marker means, not locked clinical classifier outputs."
TCGA-AC-A2FK-01,cBioPortal RNA Seq V2 RSEM batch-normalized marker expression,log2 expression z-score module means,scripts/build-rna-context.ts,1.0956,-0.0473,-1.9977,0.1548,-0.5073,0.242,basal_marker:KRT5|KRT14|KRT17|EGFR|FOXC1; lar_luminal_marker:AR|FOXA1|GATA3|ESR1; proliferation_marker:MKI67; immune_inflammation_marker:CD8A|CD274|CXCL9|IFNG; epithelial_marker:EPCAM|MUC1; stromal_emt_marker:VIM,"Module scores are cohort-relative marker means, not locked clinical classifier outputs."
TCGA-AO-A12H-01,cBioPortal RNA Seq V2 RSEM batch-normalized marker expression,log2 expression z-score module means,scripts/build-rna-context.ts,-1.6632,0.9175,-0.902,-1.2966,-1.3793,-1.1032,basal_marker:KRT5|KRT14|KRT17|EGFR|FOXC1; lar_luminal_marker:AR|FOXA1|GATA3|ESR1; proliferation_marker:MKI67; immune_inflammation_marker:CD8A|CD274|CXCL9|IFNG; epithelial_marker:EPCAM|MUC1; stromal_emt_marker:VIM,"Module scores are cohort-relative marker means, not locked clinical classifier outputs."
TCGA-AO-A1KO-01,cBioPortal RNA Seq V2 RSEM batch-normalized marker expression,log2 expression z-score module means,scripts/build-rna-context.ts,1.1478,-0.2076,-2.1148,-0.3423,0.4259,-0.2371,basal_marker:KRT5|KRT14|KRT17|EGFR|FOXC1; lar_luminal_marker:AR|FOXA1|GATA3|ESR1; proliferation_marker:MKI67; immune_inflammation_marker:CD8A|CD274|CXCL9|IFNG; epithelial_marker:EPCAM|MUC1; stromal_emt_marker:VIM,"Module scores are cohort-relative marker means, not locked clinical classifier outputs."
TCGA-AR-A2LH-01,cBioPortal RNA Seq V2 RSEM batch-normalized marker expression,log2 expression z-score module means,scripts/build-rna-context.ts,0.9151,-0.2283,0.1612,0.4175,0.6371,0.2407,basal_marker:KRT5|KRT14|KRT17|EGFR|FOXC1; lar_luminal_marker:AR|FOXA1|GATA3|ESR1; proliferation_marker:MKI67; immune_inflammation_marker:CD8A|CD274|CXCL9|IFNG; epithelial_marker:EPCAM|MUC1; stromal_emt_marker:VIM,"Module scores are cohort-relative marker means, not locked clinical classifier outputs."
TCGA-AR-A2LQ-01,cBioPortal RNA Seq V2 RSEM batch-normalized marker expression,log2 expression z-score module means,scripts/build-rna-context.ts,0.9113,-0.0491,-0.7355,-0.5794,-0.185,1.102,basal_marker:KRT5|KRT14|KRT17|EGFR|FOXC1; lar_luminal_marker:AR|FOXA1|GATA3|ESR1; proliferation_marker:MKI67; immune_inflammation_marker:CD8A|CD274|CXCL9|IFNG; epithelial_marker:EPCAM|MUC1; stromal_emt_marker:VIM,"Module scores are cohort-relative marker means, not locked clinical classifier outputs."
TCGA-BH-A42U-01,cBioPortal RNA Seq V2 RSEM batch-normalized marker expression,log2 expression z-score module means,scripts/build-rna-context.ts,1.4098,-0.138,-2.0607,0.3195,-0.6616,1.3091,basal_marker:KRT5|KRT14|KRT17|EGFR|FOXC1; lar_luminal_marker:AR|FOXA1|GATA3|ESR1; proliferation_marker:MKI67; immune_inflammation_marker:CD8A|CD274|CXCL9|IFNG; epithelial_marker:EPCAM|MUC1; stromal_emt_marker:VIM,"Module scores are cohort-relative marker means, not locked clinical classifier outputs."
TCGA-E2-A1IK-01,cBioPortal RNA Seq V2 RSEM batch-normalized marker expression,log2 expression z-score module means,scripts/build-rna-context.ts,0.3731,0.7793,-1.0918,0.1758,0.4622,-0.9644,basal_marker:KRT5|KRT14|KRT17|EGFR|FOXC1; lar_luminal_marker:AR|FOXA1|GATA3|ESR1; proliferation_marker:MKI67; immune_inflammation_marker:CD8A|CD274|CXCL9|IFNG; epithelial_marker:EPCAM|MUC1; stromal_emt_marker:VIM,"Module scores are cohort-relative marker means, not locked clinical classifier outputs."
TCGA-A2-A25B-01,cBioPortal RNA Seq V2 RSEM batch-normalized marker expression,log2 expression z-score module means,scripts/build-rna-context.ts,-0.9925,0.4438,0.8917,0.4418,0.3096,0.2889,basal_marker:KRT5|KRT14|KRT17|EGFR|FOXC1; lar_luminal_marker:AR|FOXA1|GATA3|ESR1; proliferation_marker:MKI67; immune_inflammation_marker:CD8A|CD274|CXCL9|IFNG; epithelial_marker:EPCAM|MUC1; stromal_emt_marker:VIM,"Module scores are cohort-relative marker means, not locked clinical classifier outputs."
TCGA-A7-A6VW-01,cBioPortal RNA Seq V2 RSEM batch-normalized marker expression,log2 expression z-score module means,scripts/build-rna-context.ts,1.2602,-1.2844,1.2266,-1.0315,0.5342,-0.0751,basal_marker:KRT5|KRT14|KRT17|EGFR|FOXC1; lar_luminal_marker:AR|FOXA1|GATA3|ESR1; proliferation_marker:MKI67; immune_inflammation_marker:CD8A|CD274|CXCL9|IFNG; epithelial_marker:EPCAM|MUC1; stromal_emt_marker:VIM,"Module scores are cohort-relative marker means, not locked clinical classifier outputs."
TCGA-A8-A06X-01,cBioPortal RNA Seq V2 RSEM batch-normalized marker expression,log2 expression z-score module means,scripts/build-rna-context.ts,-1.7892,0.5315,1.1411,0.5933,0.8747,-0.9137,basal_marker:KRT5|KRT14|KRT17|EGFR|FOXC1; lar_luminal_marker:AR|FOXA1|GATA3|ESR1; proliferation_marker:MKI67; immune_inflammation_marker:CD8A|CD274|CXCL9|IFNG; epithelial_marker:EPCAM|MUC1; stromal_emt_marker:VIM,"Module scores are cohort-relative marker means, not locked clinical classifier outputs."
TCGA-A8-A08L-01,cBioPortal RNA Seq V2 RSEM batch-normalized marker expression,log2 expression z-score module means,scripts/build-rna-context.ts,-1.0039,-0.1904,1.0874,0.8932,0.0945,-0.3658,basal_marker:KRT5|KRT14|KRT17|EGFR|FOXC1; lar_luminal_marker:AR|FOXA1|GATA3|ESR1; proliferation_marker:MKI67; immune_inflammation_marker:CD8A|CD274|CXCL9|IFNG; epithelial_marker:EPCAM|MUC1; stromal_emt_marker:VIM,"Module scores are cohort-relative marker means, not locked clinical classifier outputs."
TCGA-AR-A0U4-01,cBioPortal RNA Seq V2 RSEM batch-normalized marker expression,log2 expression z-score module means,scripts/build-rna-context.ts,0.2456,-1.1453,1.4019,0.5842,0.0088,0.9899,basal_marker:KRT5|KRT14|KRT17|EGFR|FOXC1; lar_luminal_marker:AR|FOXA1|GATA3|ESR1; proliferation_marker:MKI67; immune_inflammation_marker:CD8A|CD274|CXCL9|IFNG; epithelial_marker:EPCAM|MUC1; stromal_emt_marker:VIM,"Module scores are cohort-relative marker means, not locked clinical classifier outputs."
TCGA-BH-A0WA-01,cBioPortal RNA Seq V2 RSEM batch-normalized marker expression,log2 expression z-score module means,scripts/build-rna-context.ts,1.3697,-2.1663,1.2031,0.536,-0.0898,1.2533,basal_marker:KRT5|KRT14|KRT17|EGFR|FOXC1; lar_luminal_marker:AR|FOXA1|GATA3|ESR1; proliferation_marker:MKI67; immune_inflammation_marker:CD8A|CD274|CXCL9|IFNG; epithelial_marker:EPCAM|MUC1; stromal_emt_marker:VIM,"Module scores are cohort-relative marker means, not locked clinical classifier outputs."
TCGA-D8-A1JP-01,cBioPortal RNA Seq V2 RSEM batch-normalized marker expression,log2 expression z-score module means,scripts/build-rna-context.ts,-0.0668,0.5371,-0.727,-0.1911,-0.4717,0.4783,basal_marker:KRT5|KRT14|KRT17|EGFR|FOXC1; lar_luminal_marker:AR|FOXA1|GATA3|ESR1; proliferation_marker:MKI67; immune_inflammation_marker:CD8A|CD274|CXCL9|IFNG; epithelial_marker:EPCAM|MUC1; stromal_emt_marker:VIM,"Module scores are cohort-relative marker means, not locked clinical classifier outputs."
TCGA-E9-A1NC-01,cBioPortal RNA Seq V2 RSEM batch-normalized marker expression,log2 expression z-score module means,scripts/build-rna-context.ts,1.5717,-2.2888,-0.4662,1.0916,0.4514,1.2913,basal_marker:KRT5|KRT14|KRT17|EGFR|FOXC1; lar_luminal_marker:AR|FOXA1|GATA3|ESR1; proliferation_marker:MKI67; immune_inflammation_marker:CD8A|CD274|CXCL9|IFNG; epithelial_marker:EPCAM|MUC1; stromal_emt_marker:VIM,"Module scores are cohort-relative marker means, not locked clinical classifier outputs."
