Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR7890850,2019-05-15 09:37:16,2018-09-21 20:05:14,26749449,8078333598,26749449,302,2922,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/890/SRR7890850.sralite.1,SRX4728518,WES_LL_T_1,WXS,Hybrid Selection,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP162370,PRJNA489865,,489865,SRS3811870,SAMN10102573,simple,9606,Homo sapiens,HCC1395,,,,,female,,no,,,,,FDA,SRA781568,,public,DB5C9853B70EA0A1904776F396DE88EF,6FB54464FF019418AB8642B25789D459
SRR7890851,2019-05-15 09:37:16,2018-09-21 20:10:52,34905382,10541425364,34905382,302,3802,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/890/SRR7890851.sralite.1,SRX4728517,WES_LL_N_1,WXS,Hybrid Selection,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP162370,PRJNA489865,,489865,SRS3811869,SAMN10102574,simple,9606,Homo sapiens,HCC1395BL,,,,,female,,no,,,,,FDA,SRA781568,,public,BBED5D23A93B2DE8B03A002F605DC656,FB4E8CB14C3215C5E43DE622F059277A
SRR7890945,2019-05-15 09:37:14,2018-09-21 21:07:11,36344356,10975995512,36344356,302,4370,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/890/SRR7890945.sralite.1,SRX4728423,FFX_GZ_T_1h_1,WXS,Hybrid Selection,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP162370,PRJNA489865,,489865,SRS3811865,SAMN10102584,simple,9606,Homo sapiens,ATCC-1395-BrCA-R-1,,,,,female,,no,,,,,FDA,SRA781568,,public,320A33BC2A0F82121CAA876C20242541,7AA326AB5FB0FCA5418E6B1AF825F8F4
SRR7890963,2019-05-15 09:37:14,2018-09-21 20:25:33,55123671,16647348642,55123671,302,6592,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/890/SRR7890963.sralite.1,SRX4728405,FFX_GZ_N_1h_1,WXS,Hybrid Selection,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP162370,PRJNA489865,,489865,SRS3811864,SAMN10102580,simple,9606,Homo sapiens,ATCC-1395-BL-R-1,,,,,female,,no,,,,,FDA,SRA781568,,public,46FAE200AC99F963C45493EA95773E14,A513FF4B360E05869602957ED6D2886A
SRR7890824,2019-05-15 09:37:16,2018-09-22 02:44:39,568040077,170412023100,568040077,300,66384,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/890/SRR7890824.sralite.1,SRX4728544,WGS_FD_T_2,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP162370,PRJNA489865,,489865,SRS3811870,SAMN10102573,simple,9606,Homo sapiens,HCC1395,,,,,female,,no,,,,,FDA,SRA781568,,public,846DE79CFEC7F260E5B0D766298835F5,02637C9161AFA6EC5C7FC8619898A0A9
SRR7890827,2019-05-15 09:37:16,2018-09-22 01:42:48,598576900,179573070000,598576900,300,71520,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/890/SRR7890827.sralite.1,SRX4728541,WGS_FD_N_2,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP162370,PRJNA489865,,489865,SRS3811869,SAMN10102574,simple,9606,Homo sapiens,HCC1395BL,,,,,female,,no,,,,,FDA,SRA781568,,public,66D67F34A438B1CC8CAF93EC6524EE42,D6F28A050C6C1A5E5C3A04960355F6B4
SRR7890905,2019-05-15 09:37:15,2018-09-22 04:42:23,854092683,256921777858,854092683,300,77427,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/890/SRR7890905.sralite.1,SRX4728463,WGS_NS_T_6,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP162370,PRJNA489865,,489865,SRS3811870,SAMN10102573,simple,9606,Homo sapiens,HCC1395,,,,,female,,no,,,,,FDA,SRA781568,,public,EE1610C9A4C35F7D2F2C33086BE1599C,7585D03FB90E1209EEEB19F4C0697571
SRR7890943,2019-05-15 09:37:14,2018-09-22 07:55:11,703363934,211571093220,703363934,300,63958,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/890/SRR7890943.sralite.1,SRX4728425,WGS_NS_N_1,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP162370,PRJNA489865,,489865,SRS3811869,SAMN10102574,simple,9606,Homo sapiens,HCC1395BL,,,,,female,,no,,,,,FDA,SRA781568,,public,8D6187FF5D2746D0BFC64AA3722AB2CF,B9C2FA7A675E798B2A7C9B4FAF97B7F8
