sampleId,patientId,gene,entrezGeneId,expressionRsemBatchNormalized
TCGA-3C-AALK-01,TCGA-3C-AALK,CD8A,925,155.151
TCGA-3C-AALK-01,TCGA-3C-AALK,CD274,29126,12.8258
TCGA-3C-AALK-01,TCGA-3C-AALK,CXCL9,4283,587.505
TCGA-3C-AALK-01,TCGA-3C-AALK,EGFR,1956,254.026
TCGA-3C-AALK-01,TCGA-3C-AALK,EPCAM,4072,4778.65
TCGA-3C-AALK-01,TCGA-3C-AALK,ERBB2,2064,36022.8
TCGA-3C-AALK-01,TCGA-3C-AALK,ESR1,2099,2485.31
TCGA-4H-AAAK-01,TCGA-4H-AAAK,FOXA1,3169,6799.57
TCGA-4H-AAAK-01,TCGA-4H-AAAK,FOXC1,2296,150.213
TCGA-4H-AAAK-01,TCGA-4H-AAAK,GATA3,2625,14068.5
TCGA-4H-AAAK-01,TCGA-4H-AAAK,IFNG,3458,0
TCGA-4H-AAAK-01,TCGA-4H-AAAK,KRT5,3852,2734.47
TCGA-4H-AAAK-01,TCGA-4H-AAAK,KRT14,3861,2896.6
TCGA-4H-AAAK-01,TCGA-4H-AAAK,KRT17,3872,2997.87
TCGA-4H-AAAK-01,TCGA-4H-AAAK,AR,367,673.617
TCGA-4H-AAAK-01,TCGA-4H-AAAK,MKI67,4288,1206.38
TCGA-4H-AAAK-01,TCGA-4H-AAAK,MUC1,4582,7411.06
TCGA-4H-AAAK-01,TCGA-4H-AAAK,PGR,5241,4425.19
TCGA-4H-AAAK-01,TCGA-4H-AAAK,VIM,7431,25455.5
TCGA-4H-AAAK-01,TCGA-4H-AAAK,CD8A,925,102.553
TCGA-4H-AAAK-01,TCGA-4H-AAAK,CD274,29126,17.4468
TCGA-4H-AAAK-01,TCGA-4H-AAAK,CXCL9,4283,392.766
TCGA-4H-AAAK-01,TCGA-4H-AAAK,EGFR,1956,164.251
TCGA-4H-AAAK-01,TCGA-4H-AAAK,EPCAM,4072,1263.83
TCGA-4H-AAAK-01,TCGA-4H-AAAK,ERBB2,2064,12236.6
TCGA-4H-AAAK-01,TCGA-4H-AAAK,ESR1,2099,5518.3
TCGA-5L-AAT0-01,TCGA-5L-AAT0,FOXA1,3169,6281.27
TCGA-5L-AAT0-01,TCGA-5L-AAT0,FOXC1,2296,177.739
TCGA-5L-AAT0-01,TCGA-5L-AAT0,GATA3,2625,16511.5
TCGA-5L-AAT0-01,TCGA-5L-AAT0,IFNG,3458,1.7598
TCGA-5L-AAT0-01,TCGA-5L-AAT0,KRT5,3852,2807.45
TCGA-5L-AAT0-01,TCGA-5L-AAT0,KRT14,3861,2952.34
TCGA-5L-AAT0-01,TCGA-5L-AAT0,KRT17,3872,1716.97
TCGA-5L-AAT0-01,TCGA-5L-AAT0,AR,367,306.203
TCGA-5L-AAT0-01,TCGA-5L-AAT0,MKI67,4288,503.886
TCGA-5L-AAT0-01,TCGA-5L-AAT0,MUC1,4582,11772.4
TCGA-5L-AAT0-01,TCGA-5L-AAT0,PGR,5241,734.8
TCGA-5L-AAT0-01,TCGA-5L-AAT0,VIM,7431,26883.5
TCGA-5L-AAT0-01,TCGA-5L-AAT0,CD8A,925,383.047
TCGA-5L-AAT0-01,TCGA-5L-AAT0,CD274,29126,8.2123
TCGA-5L-AAT0-01,TCGA-5L-AAT0,CXCL9,4283,3147.09
TCGA-5L-AAT0-01,TCGA-5L-AAT0,EGFR,1956,97.9381
TCGA-5L-AAT0-01,TCGA-5L-AAT0,EPCAM,4072,3762.43
TCGA-5L-AAT0-01,TCGA-5L-AAT0,ERBB2,2064,9411.94
TCGA-5L-AAT0-01,TCGA-5L-AAT0,ESR1,2099,6592.17
TCGA-5T-A9QA-01,TCGA-5T-A9QA,FOXA1,3169,8191.42
TCGA-5T-A9QA-01,TCGA-5T-A9QA,FOXC1,2296,81.0669
TCGA-5T-A9QA-01,TCGA-5T-A9QA,GATA3,2625,13485.4
TCGA-5T-A9QA-01,TCGA-5T-A9QA,IFNG,3458,0
TCGA-5T-A9QA-01,TCGA-5T-A9QA,KRT5,3852,2.6151
TCGA-5T-A9QA-01,TCGA-5T-A9QA,KRT14,3861,2.6151
TCGA-5T-A9QA-01,TCGA-5T-A9QA,KRT17,3872,6.2762
TCGA-5T-A9QA-01,TCGA-5T-A9QA,AR,367,125.523
TCGA-5T-A9QA-01,TCGA-5T-A9QA,MKI67,4288,953.975
TCGA-5T-A9QA-01,TCGA-5T-A9QA,MUC1,4582,32469.7
TCGA-5T-A9QA-01,TCGA-5T-A9QA,PGR,5241,108.787
TCGA-5T-A9QA-01,TCGA-5T-A9QA,VIM,7431,4651.07
TCGA-5T-A9QA-01,TCGA-5T-A9QA,CD8A,925,123.954
TCGA-5T-A9QA-01,TCGA-5T-A9QA,CD274,29126,6.2762
TCGA-5T-A9QA-01,TCGA-5T-A9QA,CXCL9,4283,60.6695
TCGA-5T-A9QA-01,TCGA-5T-A9QA,EGFR,1956,14.1213
TCGA-5T-A9QA-01,TCGA-5T-A9QA,EPCAM,4072,5762.55
TCGA-5T-A9QA-01,TCGA-5T-A9QA,ERBB2,2064,11993.2
TCGA-5T-A9QA-01,TCGA-5T-A9QA,ESR1,2099,3557.01
TCGA-A1-A0SB-01,TCGA-A1-A0SB,FOXA1,3169,535.646
TCGA-A1-A0SB-01,TCGA-A1-A0SB,FOXC1,2296,2276.83
TCGA-A1-A0SB-01,TCGA-A1-A0SB,GATA3,2625,601.419
TCGA-A1-A0SB-01,TCGA-A1-A0SB,IFNG,3458,0
TCGA-A1-A0SB-01,TCGA-A1-A0SB,KRT5,3852,38415.6
TCGA-A1-A0SB-01,TCGA-A1-A0SB,KRT14,3861,9949.32
TCGA-A1-A0SB-01,TCGA-A1-A0SB,KRT17,3872,11574.7
TCGA-A1-A0SB-01,TCGA-A1-A0SB,AR,367,44.1491
TCGA-A1-A0SB-01,TCGA-A1-A0SB,MKI67,4288,1583.51
TCGA-A1-A0SB-01,TCGA-A1-A0SB,MUC1,4582,424.372
TCGA-A1-A0SB-01,TCGA-A1-A0SB,PGR,5241,9.4605
TCGA-A1-A0SB-01,TCGA-A1-A0SB,VIM,7431,54569.4
TCGA-A1-A0SB-01,TCGA-A1-A0SB,CD8A,925,28.8321
TCGA-A1-A0SB-01,TCGA-A1-A0SB,CD274,29126,2.703
TCGA-A1-A0SB-01,TCGA-A1-A0SB,CXCL9,4283,7.6585
TCGA-A1-A0SB-01,TCGA-A1-A0SB,EGFR,1956,3690.47
TCGA-A1-A0SB-01,TCGA-A1-A0SB,EPCAM,4072,3497.24
TCGA-A1-A0SB-01,TCGA-A1-A0SB,ERBB2,2064,6711.57
TCGA-A1-A0SB-01,TCGA-A1-A0SB,ESR1,2099,860.457
TCGA-A1-A0SD-01,TCGA-A1-A0SD,FOXA1,3169,8118.44
TCGA-A1-A0SD-01,TCGA-A1-A0SD,FOXC1,2296,257.382
TCGA-A1-A0SD-01,TCGA-A1-A0SD,GATA3,2625,12982.9
TCGA-A1-A0SD-01,TCGA-A1-A0SD,IFNG,3458,1.3233
TCGA-A1-A0SD-01,TCGA-A1-A0SD,KRT5,3852,6338.93
TCGA-A1-A0SD-01,TCGA-A1-A0SD,KRT14,3861,4230.58
TCGA-A1-A0SD-01,TCGA-A1-A0SD,KRT17,3872,6636.67
TCGA-A1-A0SD-01,TCGA-A1-A0SD,AR,367,965.677
TCGA-A1-A0SD-01,TCGA-A1-A0SD,MKI67,4288,1478.79
TCGA-A1-A0SD-01,TCGA-A1-A0SD,MUC1,4582,20869.7
TCGA-A1-A0SD-01,TCGA-A1-A0SD,PGR,5241,716.761
TCGA-A1-A0SD-01,TCGA-A1-A0SD,VIM,7431,21055.3
TCGA-A1-A0SD-01,TCGA-A1-A0SD,CD8A,925,87.3377
TCGA-A1-A0SD-01,TCGA-A1-A0SD,CD274,29126,26.7968
TCGA-A1-A0SD-01,TCGA-A1-A0SD,CXCL9,4283,921.677
TCGA-A1-A0SD-01,TCGA-A1-A0SD,EGFR,1956,362.584
TCGA-A1-A0SD-01,TCGA-A1-A0SD,EPCAM,4072,4580.93
TCGA-A1-A0SD-01,TCGA-A1-A0SD,ERBB2,2064,12986.5
TCGA-A1-A0SD-01,TCGA-A1-A0SD,ESR1,2099,9728.23
TCGA-A1-A0SE-01,TCGA-A1-A0SE,FOXA1,3169,7791.36
TCGA-A1-A0SE-01,TCGA-A1-A0SE,FOXC1,2296,320.526
TCGA-A1-A0SE-01,TCGA-A1-A0SE,GATA3,2625,12762.5
TCGA-A1-A0SE-01,TCGA-A1-A0SE,IFNG,3458,0.3291
TCGA-A1-A0SE-01,TCGA-A1-A0SE,KRT5,3852,6042.95
TCGA-A1-A0SE-01,TCGA-A1-A0SE,KRT14,3861,3470.18
TCGA-A1-A0SE-01,TCGA-A1-A0SE,KRT17,3872,1955.41
TCGA-A1-A0SE-01,TCGA-A1-A0SE,AR,367,1083.01
TCGA-A1-A0SE-01,TCGA-A1-A0SE,MKI67,4288,1959.69
TCGA-A1-A0SE-01,TCGA-A1-A0SE,MUC1,4582,19653.5
TCGA-A1-A0SE-01,TCGA-A1-A0SE,PGR,5241,7168.08
TCGA-A1-A0SE-01,TCGA-A1-A0SE,VIM,7431,17378.8
TCGA-A1-A0SE-01,TCGA-A1-A0SE,CD8A,925,239.901
