pair_id,sample_name,role,run,assay,library_strategy,library_layout,reads_per_end,r1_mean_length,r2_mean_length,r1_gc_fraction,r2_gc_fraction,r1_n_fraction,r2_n_fraction,first_read_id,last_read_id,paired_id_check,local_fastq_1,local_fastq_2
seqc2_hcc1395_wes_minimal_smoke,HCC1395BL,normal,SRR7890851,WES,WXS,PAIRED,1000,151,151,0.4978,0.4984,0.002205,0.001377,SRR7890851.1,SRR7890851.1000,passed,data/raw/smoke/seqc2_hcc1395_wes_minimal_smoke/SRR7890851_R1.fastq,data/raw/smoke/seqc2_hcc1395_wes_minimal_smoke/SRR7890851_R2.fastq
seqc2_hcc1395_wes_minimal_smoke,HCC1395,tumor,SRR7890850,WES,WXS,PAIRED,1000,151,151,0.5045,0.5037,0.001325,0.000742,SRR7890850.1,SRR7890850.1000,passed,data/raw/smoke/seqc2_hcc1395_wes_minimal_smoke/SRR7890850_R1.fastq,data/raw/smoke/seqc2_hcc1395_wes_minimal_smoke/SRR7890850_R2.fastq
