status,tool,sample,role,run_accession,input_bam,total_alignments,supplementary_alignments,discordant_mapped_pairs,interchromosomal_pairs,large_insert_pairs,sv_candidate_rows_written,chord_input_status,caveat
passed,metadata_only,WGS_EA_T_1,tumor,SRR7890833,data/raw/phase3_wgs_smoke/seqc2_hcc1395_wgs_hiseqx_full/ucsc_hg38_analysis_set_full/full/bam/WGS_EA_T_1.tumor.bam,,,,,,0,not_assessable_metadata_only,Metadata-only SV evidence mode skips full-BAM samtools view for public-BAM optimization timing runs.
passed,metadata_only,WGS_EA_N_1,normal,SRR7890832,data/raw/phase3_wgs_smoke/seqc2_hcc1395_wgs_hiseqx_full/ucsc_hg38_analysis_set_full/full/bam/WGS_EA_N_1.normal.bam,,,,,,0,not_assessable_metadata_only,Metadata-only SV evidence mode skips full-BAM samtools view for public-BAM optimization timing runs.
